score,sig,desc,a,lvl_a,b,lvl_b
0.553,0.845,0.114,Find Familiar,1,Glyph of Warding,3
0.553,0.838,0.125,Speak with Animals,1,Stoneskin,4
0.553,0.794,0.190,Bless,1,Counterspell,3
0.553,0.699,0.333,Cure Wounds,1,Enthrall,2
0.553,0.796,0.188,Magic Missile,1,Witch Bolt,1
0.552,0.818,0.154,Counterspell,3,Healing Word,1
0.552,0.857,0.095,Animate Dead,3,Mass Cure Wounds,5
0.552,0.857,0.095,Heroism,1,Longstrider,1
0.552,0.857,0.095,Longstrider,1,Mage Armour,1
0.552,0.783,0.207,Thunderous Smite,1,Wrathful Smite,1
0.552,0.842,0.118,Prayer of Healing,2,Heal,6
0.552,0.842,0.118,Create or Destroy Water,1,Longstrider,1
0.552,0.784,0.205,Hex,1,Resistance,0
0.552,0.829,0.138,Cure Wounds,1,Otiluke's Freezing Sphere,6
0.552,0.708,0.318,Otto's Irresistible Dance,6,Phantasmal Killer,4
0.552,0.865,0.083,Speak with Animals,1,Wind Walk,6
0.552,0.880,0.061,Dissonant Whispers,1,Lightning Bolt,3
0.552,0.825,0.143,Magic Missile,1,Wall of Ice,6
0.552,0.730,0.286,Healing Word,1,Longstrider,1
0.552,0.795,0.188,Darkvision,2,Invisibility,2
0.552,0.831,0.133,Death Ward,4,Guidance,0
0.552,0.817,0.154,Chain Lightning,6,Flame Strike,5
0.552,0.753,0.250,Healing Word,1,Shield of Faith,1
0.552,0.767,0.229,Magic Weapon,2,Resistance,0
0.552,0.868,0.077,Wind Walk,6,Barkskin,2
0.552,0.831,0.133,Conjure Minor Elemental,4,Counterspell,3
0.552,0.831,0.133,Counterspell,3,Seeming,5
0.552,0.753,0.250,Entangle,1,Globe of Invulnerability,6
0.552,0.705,0.323,Command,1,Protection from Energy,3
0.552,0.849,0.105,Blink,3,Guidance,0
0.552,0.805,0.171,Enlarge/Reduce,2,Haste,3
0.552,0.833,0.129,Conjure Elemental,5,Heroism,1
0.552,0.849,0.105,Chain Lightning,6,Lightning Bolt,3
0.551,0.845,0.111,Blade Ward,0,Thaumaturgy,0
0.551,0.845,0.111,Animate Dead,3,Barkskin,2
0.551,0.775,0.216,Darkvision,2,Otto's Irresistible Dance,6
0.551,0.747,0.258,Globe of Invulnerability,6,Resistance,0
0.551,0.871,0.071,Animal Friendship,1,Slow,3
0.551,0.824,0.143,Conjure Elemental,5,Revivify,3
0.551,0.760,0.238,Circle of Death,6,Phantasmal Killer,4
0.551,0.865,0.080,Animal Friendship,1,Hold Monster,5
0.551,0.865,0.080,Compelled Duel,1,Tasha's Hideous Laughter,1
0.551,0.848,0.105,Knock,2,Wall of Stone,5
0.551,0.789,0.194,Speak with Animals,1,Death Ward,4
0.551,0.882,0.054,Command,1,Slow,3
0.551,0.767,0.226,Bestow Curse,3,Elemental Weapon,3
0.551,0.782,0.205,Chromatic Orb,1,Destructive Wave,5
0.551,0.816,0.154,Spirit Guardians,3,Enlarge/Reduce,2
0.551,0.886,0.049,Elemental Weapon,3,Plant Growth,3
0.551,0.865,0.080,Enhance Ability,2,Longstrider,1
0.551,0.829,0.133,Sleet Storm,3,Stinking Cloud,3
0.551,0.744,0.261,Contagion,5,Entangle,1
0.551,0.880,0.057,Plant Growth,3,Web,2
0.551,0.761,0.235,Guiding Bolt,1,Ray of Frost,0
0.551,0.861,0.085,Blink,3,Enhance Ability,2
0.551,0.765,0.229,Elemental Weapon,3,Globe of Invulnerability,6
0.551,0.829,0.133,Dissonant Whispers,1,Sunbeam,6
0.551,0.800,0.176,Chromatic Orb,1,Wall of Fire,4
0.550,0.829,0.133,Shield,1,Seeming,5
0.550,0.829,0.133,Shield,1,Seeming,5
0.550,0.829,0.133,Shield,1,Seeming,5
0.550,0.829,0.133,Animate Dead,3,Guidance,0
0.550,0.780,0.205,Blink,3,Calm Emotions,2
0.550,0.843,0.111,Blindness,2,Dominate Beast,4
0.550,0.756,0.242,Cloudkill,5,Wall of Ice,6
0.550,0.822,0.143,Darkness,2,Elemental Weapon,3
0.550,0.822,0.143,Longstrider,1,Plant Growth,3
0.550,0.822,0.143,Protection from Energy,3,Stinking Cloud,3
0.550,0.806,0.167,Counterspell,3,Resistance,0
0.550,0.833,0.125,Feather Fall,1,Thaumaturgy,0
0.550,0.806,0.167,Conjure Minor Elemental,4,Darkvision,2
0.550,0.833,0.125,Guidance,0,Seeming,5
0.550,0.833,0.125,Sleet Storm,3,Web,2
